FDAPreferredTerm|DrugBankDrugString|DrugBank
QUERCETIN|Quercetin|http://www.drugbank.ca/drugs/DB04216
QUETIAPINE|Quetiapine|http://www.drugbank.ca/drugs/DB01224
QUINALDIC ACID|Quinaldic Acid|http://www.drugbank.ca/drugs/DB02428
QUINAPRIL|Quinapril|http://www.drugbank.ca/drugs/DB00881
QUINESTROL|Quinestrol|http://www.drugbank.ca/drugs/DB04575
QUINIDINE|Quinidine|http://www.drugbank.ca/drugs/DB00908
QUININE|Quinine|http://www.drugbank.ca/drugs/DB00468
QUINOLINIC ACID|Quinolinic Acid|http://www.drugbank.ca/drugs/DB01796
QUINOVOSE|L-Rhamnose|http://www.drugbank.ca/drugs/DB02961
QUISQUALIC ACID|Quisqualate|http://www.drugbank.ca/drugs/DB02999
RADIUM RA-223 DICHLORIDE|Radium Ra 223 Dichloride|http://www.drugbank.ca/drugs/DB08913
RALOXIFENE|Raloxifene|http://www.drugbank.ca/drugs/DB00481
RALTEGRAVIR|Raltegravir|http://www.drugbank.ca/drugs/DB06817
RALTITREXED|Raltitrexed|http://www.drugbank.ca/drugs/DB00293
RAMELTEON|Ramelteon|http://www.drugbank.ca/drugs/DB00980
RAMIPRIL|Ramipril|http://www.drugbank.ca/drugs/DB00178
RAPACURONIUM BROMIDE|Rapacuronium|http://www.drugbank.ca/drugs/DB04834
RASAGILINE|Rasagiline|http://www.drugbank.ca/drugs/DB01367
REGADENOSON ANHYDROUS|Regadenoson|http://www.drugbank.ca/drugs/DB06213
REGORAFENIB|Regorafenib|http://www.drugbank.ca/drugs/DB08896
REMIFENTANIL|Remifentanil|http://www.drugbank.ca/drugs/DB00899
REMOXIPRIDE|Remoxipride|http://www.drugbank.ca/drugs/DB00409
REPAGLINIDE|Repaglinide|http://www.drugbank.ca/drugs/DB00912
RESCINNAMINE|Rescinnamine|http://www.drugbank.ca/drugs/DB01180
RESERPINE|Reserpine|http://www.drugbank.ca/drugs/DB00206
RESVERATROL|Resveratrol|http://www.drugbank.ca/drugs/DB02709
RETINOL|Vitamin A|http://www.drugbank.ca/drugs/DB00162
RIBAVIRIN|Ribavirin|http://www.drugbank.ca/drugs/DB00811
RIBOFLAVIN|Riboflavin|http://www.drugbank.ca/drugs/DB00140
RIDOGREL|Ridogrel|http://www.drugbank.ca/drugs/DB01207
RIFABUTIN|Rifabutin|http://www.drugbank.ca/drugs/DB00615
RIFAXIMIN|Rifaximin|http://www.drugbank.ca/drugs/DB01220
RILPIVIRINE|Rilpivirine|http://www.drugbank.ca/drugs/DB08864
RILUZOLE|Riluzole|http://www.drugbank.ca/drugs/DB00740
RIMONABANT|Rimonabant|http://www.drugbank.ca/drugs/DB06155
RISEDRONIC ACID|Risedronate|http://www.drugbank.ca/drugs/DB00884
RISPERIDONE|Risperidone|http://www.drugbank.ca/drugs/DB00734
RITONAVIR|Ritonavir|http://www.drugbank.ca/drugs/DB00503
RIVASTIGMINE|Rivastigmine|http://www.drugbank.ca/drugs/DB00989
RIZATRIPTAN|Rizatriptan|http://www.drugbank.ca/drugs/DB00953
ROCURONIUM|Rocuronium|http://www.drugbank.ca/drugs/DB00728
ROFECOXIB|Rofecoxib|http://www.drugbank.ca/drugs/DB00533
ROFLUMILAST|Roflumilast|http://www.drugbank.ca/drugs/DB01656
ROLICYCLIDINE|Rolicyclidine|http://www.drugbank.ca/drugs/DB01549
ROLIPRAM, (-)-|(R)-Rolipram|http://www.drugbank.ca/drugs/DB04149
ROLITETRACYCLINE|Rolitetracycline|http://www.drugbank.ca/drugs/DB01301
ROPINIROLE|Ropinirole|http://www.drugbank.ca/drugs/DB00268
ROSOXACIN|Rosoxacin|http://www.drugbank.ca/drugs/DB00817
ROSUVASTATIN|Rosuvastatin|http://www.drugbank.ca/drugs/DB01098
ROXATIDINE ACETATE|Roxatidine acetate|http://www.drugbank.ca/drugs/DB08806
RUFINAMIDE|Rufinamide|http://www.drugbank.ca/drugs/DB06201
RUXOLITINIB|Ruxolitinib|http://www.drugbank.ca/drugs/DB08877
SALICYLAMIDE|Salicylamide|http://www.drugbank.ca/drugs/DB08797
SALICYLHYDROXAMIC ACID|Salicylhydroxamic Acid|http://www.drugbank.ca/drugs/DB03819
SALICYLIC ACID|Salicyclic acid|http://www.drugbank.ca/drugs/DB00936
SALSALATE|Salsalate|http://www.drugbank.ca/drugs/DB01399
SAPRISARTAN|Saprisartan|http://www.drugbank.ca/drugs/DB01347
SATRAPLATIN|Satraplatin|http://www.drugbank.ca/drugs/DB04996
SCOPOLAMINE|Scopolamine|http://www.drugbank.ca/drugs/DB00747
SCYLLO-INOSITOL|Myo-Inositol|http://www.drugbank.ca/drugs/DB03106
SEBACIC ACID|SEBACIC ACID|http://www.drugbank.ca/drugs/DB07645
SELENOCYSTEINE|Selenocysteine|http://www.drugbank.ca/drugs/DB02345
SERINE|L-Serine|http://www.drugbank.ca/drugs/DB00133
SERINE, D-|D-Serine|http://www.drugbank.ca/drugs/DB03929
SERTINDOLE|Sertindole|http://www.drugbank.ca/drugs/DB06144
SEVOFLURANE|Sevoflurane|http://www.drugbank.ca/drugs/DB01236
SILDENAFIL|Sildenafil|http://www.drugbank.ca/drugs/DB00203
SILODOSIN|Silodosin|http://www.drugbank.ca/drugs/DB06207
SILVER SULFADIAZINE|Silver sulfadiazine|http://www.drugbank.ca/drugs/DB05245
SIMVASTATIN|Simvastatin|http://www.drugbank.ca/drugs/DB00641
SINAPIC ACID|SINAPINATE|http://www.drugbank.ca/drugs/DB08587
SITAGLIPTIN|Sitagliptin|http://www.drugbank.ca/drugs/DB01261
SITAMAQUINE|Sitamaquine|http://www.drugbank.ca/drugs/DB04909
SITAXENTAN|Sitaxentan|http://www.drugbank.ca/drugs/DB06268
S-METHYLCYSTEINE|S-Methylcysteine|http://www.drugbank.ca/drugs/DB02216
S-METHYLGLUTATHIONE|S-METHYL-GLUTATHIONE|http://www.drugbank.ca/drugs/DB04701
SODIUM BICARBONATE|Sodium bicarbonate|http://www.drugbank.ca/drugs/DB01390
SODIUM LAURYL SULFATE|Sodium lauryl sulfate|http://www.drugbank.ca/drugs/DB00815
SODIUM SALICYLATE|Salicylate-sodium|http://www.drugbank.ca/drugs/DB01398
SOLIFENACIN SUCCINATE|Solifenacin|http://www.drugbank.ca/drugs/DB01591
SONECLOSAN|Diclosan|http://www.drugbank.ca/drugs/DB04393
SORAFENIB|Sorafenib|http://www.drugbank.ca/drugs/DB00398
SORBINIL|Sorbinil|http://www.drugbank.ca/drugs/DB02712
SORBITOL|D-Sorbitol|http://www.drugbank.ca/drugs/DB01638
SPARFLOXACIN|Sparfloxacin|http://www.drugbank.ca/drugs/DB01208
SPARSOMYCIN|Sparsomycin|http://www.drugbank.ca/drugs/DB04222
SPECTINOMYCIN|Spectinomycin|http://www.drugbank.ca/drugs/DB00919
SPERMIDINE|Spermidine|http://www.drugbank.ca/drugs/DB03566
SPERMINE|Spermine|http://www.drugbank.ca/drugs/DB00127
SPIRAPRIL|Spirapril|http://www.drugbank.ca/drugs/DB01348
SPIRONOLACTONE|Spironolactone|http://www.drugbank.ca/drugs/DB00421
SQ-109|SQ109|http://www.drugbank.ca/drugs/DB05186
SR-31747|SR 31747|http://www.drugbank.ca/drugs/DB05792
STAVUDINE|Stavudine|http://www.drugbank.ca/drugs/DB00649
STEARIC ACID|Stearic acid|http://www.drugbank.ca/drugs/DB03193
STREPTOMYCIN|Streptomycin|http://www.drugbank.ca/drugs/DB01082
STYRENE OXIDE, (R)-|R-Styrene Oxide|http://www.drugbank.ca/drugs/DB04499
SUCCINIC ACID|Succinic acid|http://www.drugbank.ca/drugs/DB00139
SUCCINYLCHOLINE|Succinylcholine|http://www.drugbank.ca/drugs/DB00202
SUFENTANIL|Sufentanil|http://www.drugbank.ca/drugs/DB00708
SULFACETAMIDE|Sulfacetamide|http://www.drugbank.ca/drugs/DB00634
SULFACYTINE|Sulfacytine|http://www.drugbank.ca/drugs/DB01298
SULFADIAZINE|Sulfadiazine|http://www.drugbank.ca/drugs/DB00359
SULFADIMETHOXINE|Sulfadimethoxine|http://www.drugbank.ca/drugs/DB06150
SULFADOXINE|Sulfadoxine|http://www.drugbank.ca/drugs/DB01299
SULFALENE|Sulfametopyrazine|http://www.drugbank.ca/drugs/DB00664
SULFAMERAZINE|Sulfamerazine|http://www.drugbank.ca/drugs/DB01581
SULFAMETHAZINE|Sulfamethazine|http://www.drugbank.ca/drugs/DB01582
SULFAMETHIZOLE|Sulfamethizole|http://www.drugbank.ca/drugs/DB00576
SULFAMETHOXAZOLE|Sulfamethoxazole|http://www.drugbank.ca/drugs/DB01015
SULFAMOXOLE|Sulfamoxole|http://www.drugbank.ca/drugs/DB08798
SULFANILAMIDE|Sulfanilamide|http://www.drugbank.ca/drugs/DB00259
SULFAPHENAZOLE|Sulfaphenazole|http://www.drugbank.ca/drugs/DB06729
SULFAPYRIDINE|Sulfapyridine|http://www.drugbank.ca/drugs/DB00891
SULFASALAZINE|Sulfasalazine|http://www.drugbank.ca/drugs/DB00795
SULFATHIAZOLE|Sulfathiazole|http://www.drugbank.ca/drugs/DB06147
SULFISOXAZOLE|Sulfisoxazole|http://www.drugbank.ca/drugs/DB00263
SULFOXONE|Sulfoxone|http://www.drugbank.ca/drugs/DB01145
SULTHIAME|SULTHIAME|http://www.drugbank.ca/drugs/DB08329
SUMATRIPTAN|Sumatriptan|http://www.drugbank.ca/drugs/DB00669
SUNITINIB|Sunitinib|http://www.drugbank.ca/drugs/DB01268
SURAMIN|Suramin|http://www.drugbank.ca/drugs/DB04786
TACRINE|Tacrine|http://www.drugbank.ca/drugs/DB00382
TACROLIMUS ANHYDROUS|Tacrolimus|http://www.drugbank.ca/drugs/DB00864
TADALAFIL|Tadalafil|http://www.drugbank.ca/drugs/DB00820
TAFLUPROST|Tafluprost|http://www.drugbank.ca/drugs/DB08819
TAGATOSE|Tagatose|http://www.drugbank.ca/drugs/DB04936
TALAMPANEL|Talampanel|http://www.drugbank.ca/drugs/DB04982
TAMIBAROTENE|Tamibarotene|http://www.drugbank.ca/drugs/DB04942
TAMOXIFEN|Tamoxifen|http://www.drugbank.ca/drugs/DB00675
TAMSULOSIN|Tamsulosin|http://www.drugbank.ca/drugs/DB00706
TANAPROGET|Tanaproget|http://www.drugbank.ca/drugs/DB04787
TAPENTADOL|Tapentadol|http://www.drugbank.ca/drugs/DB06204
TARTARIC ACID, MESO-|D-tartaric acid|http://www.drugbank.ca/drugs/DB01694
TASOSARTAN|Tasosartan|http://www.drugbank.ca/drugs/DB01349
TAZAROTENE|Tazarotene|http://www.drugbank.ca/drugs/DB00799
TAZOBACTAM|Tazobactam|http://www.drugbank.ca/drugs/DB01606
TECADENOSON|Tecadenoson|http://www.drugbank.ca/drugs/DB04954
TELAPREVIR|Telaprevir|http://www.drugbank.ca/drugs/DB05521
TELAVANCIN HYDROCHLORIDE|Telavancin|http://www.drugbank.ca/drugs/DB06402
TELBIVUDINE|Telbivudine|http://www.drugbank.ca/drugs/DB01265
TELMISARTAN|Telmisartan|http://www.drugbank.ca/drugs/DB00966
TEMOZOLOMIDE|Temozolomide|http://www.drugbank.ca/drugs/DB00853
TENOCYCLIDINE|Tenocyclidine|http://www.drugbank.ca/drugs/DB01520
TENOFOVIR ANHYDROUS|Tenofovir|http://www.drugbank.ca/drugs/DB00300
TERBINAFINE|Terbinafine|http://www.drugbank.ca/drugs/DB00857
TESMILIFENE|Tesmilifene|http://www.drugbank.ca/drugs/DB04905
TESTOLACTONE|Testolactone|http://www.drugbank.ca/drugs/DB00894
TESTOSTERONE|Testosterone|http://www.drugbank.ca/drugs/DB00624
TESTOSTERONE PROPIONATE|Testosterone Propionate|http://www.drugbank.ca/drugs/DB01420
TESTOSTERONE SUCCINATE|TESTOSTERONE HEMISUCCINATE|http://www.drugbank.ca/drugs/DB08619
TETRABUTYLAMMONIUM|Tetrabutylammonium Ion|http://www.drugbank.ca/drugs/DB01851
TETRACYCLINE|Tetracycline|http://www.drugbank.ca/drugs/DB00759
TETRADECANE|Tetradecane|http://www.drugbank.ca/drugs/DB03563
TETRAETHYLAMMONIUM|Tetraethylammonium|http://www.drugbank.ca/drugs/DB08837
TETRAHYDROPYRAN|Tetrahydropyran|http://www.drugbank.ca/drugs/DB02412
TETRAPHENYLPHOSPHONIUM|Tetraphenylphosphonium|http://www.drugbank.ca/drugs/DB02791
THENALIDINE|Thenalidine|http://www.drugbank.ca/drugs/DB04826
THENOYLTRIFLUOROACETONE|Thenoyltrifluoroacetone|http://www.drugbank.ca/drugs/DB04795
THEOBROMINE|Theobromine|http://www.drugbank.ca/drugs/DB01412
THEOPHYLLINE ANHYDROUS|Theophylline|http://www.drugbank.ca/drugs/DB00277
THIABENDAZOLE|Thiabendazole|http://www.drugbank.ca/drugs/DB00730
THIAMINE ION|Thiamine|http://www.drugbank.ca/drugs/DB00152
THIAMPHENICOL|THIAMPHENICOL|http://www.drugbank.ca/drugs/DB08621
THIETHYLPERAZINE|Thiethylperazine|http://www.drugbank.ca/drugs/DB00372
THIOGUANINE ANHYDROUS|Thioguanine|http://www.drugbank.ca/drugs/DB00352
THIOPROPERAZINE|Thioproperazine|http://www.drugbank.ca/drugs/DB01622
THIOTEPA|Thiotepa|http://www.drugbank.ca/drugs/DB04572
THIOTHIXENE|Thiothixene|http://www.drugbank.ca/drugs/DB01623
THYMIDINE 5'-MONOPHOSPHATE|Thymidine-5'-Phosphate|http://www.drugbank.ca/drugs/DB01643
THYMINE|Thymine|http://www.drugbank.ca/drugs/DB03462
TIAGABINE|Tiagabine|http://www.drugbank.ca/drugs/DB00906
TICAGRELOR|Ticagrelor|http://www.drugbank.ca/drugs/DB08816
TICARCILLIN|Ticarcillin|http://www.drugbank.ca/drugs/DB01607
TICLOPIDINE|Ticlopidine|http://www.drugbank.ca/drugs/DB00208
TICRYNAFEN|Ticrynafen|http://www.drugbank.ca/drugs/DB04831
TIGECYCLINE|Tigecycline|http://www.drugbank.ca/drugs/DB00560
TILUDRONIC ACID|Tiludronate|http://www.drugbank.ca/drugs/DB01133
TINIDAZOLE|Tinidazole|http://www.drugbank.ca/drugs/DB00911
TIROFIBAN|Tirofiban|http://www.drugbank.ca/drugs/DB00775
TIZANIDINE|Tizanidine|http://www.drugbank.ca/drugs/DB00697
TOBRAMYCIN|Tobramycin|http://www.drugbank.ca/drugs/DB00684
TOLAZAMIDE|Tolazamide|http://www.drugbank.ca/drugs/DB00839
TOLAZOLINE|Tolazoline|http://www.drugbank.ca/drugs/DB00797
TOLBUTAMIDE|Tolbutamide|http://www.drugbank.ca/drugs/DB01124
TOLCAPONE|Tolcapone|http://www.drugbank.ca/drugs/DB00323
TOLMETIN|Tolmetin|http://www.drugbank.ca/drugs/DB00500
TOLNAFTATE|Tolnaftate|http://www.drugbank.ca/drugs/DB00525
TOLRESTAT|Tolrestat|http://www.drugbank.ca/drugs/DB02383
TOLTERODINE|Tolterodine|http://www.drugbank.ca/drugs/DB01036
TOLUENE|Toluene|http://www.drugbank.ca/drugs/DB01900
TOPIRAMATE|Topiramate|http://www.drugbank.ca/drugs/DB00273
TOPOTECAN|Topotecan|http://www.drugbank.ca/drugs/DB01030
TOREMIFENE|Toremifene|http://www.drugbank.ca/drugs/DB00539
TORSEMIDE|Torasemide|http://www.drugbank.ca/drugs/DB00214
TRABECTEDIN|Trabectedin|http://www.drugbank.ca/drugs/DB05109
TRAMETINIB|Trametinib|http://www.drugbank.ca/drugs/DB08911
TRANDOLAPRIL|Trandolapril|http://www.drugbank.ca/drugs/DB00519
TRANEXAMIC ACID|Tranexamic Acid|http://www.drugbank.ca/drugs/DB00302
TRAVOPROST|Travoprost|http://www.drugbank.ca/drugs/DB00287
TRAZODONE|Trazodone|http://www.drugbank.ca/drugs/DB00656
TREPROSTINIL|Treprostinil|http://www.drugbank.ca/drugs/DB00374
TRETINOIN|Tretinoin|http://www.drugbank.ca/drugs/DB00755
TRIAMCINOLONE|Triamcinolone|http://www.drugbank.ca/drugs/DB00620
TRIAMTERENE|Triamterene|http://www.drugbank.ca/drugs/DB00384
TRIAZOLAM|Triazolam|http://www.drugbank.ca/drugs/DB00897
TRICLOSAN|Triclosan|http://www.drugbank.ca/drugs/DB08604
TRIDECANOIC ACID|N-Tridecanoic Acid|http://www.drugbank.ca/drugs/DB02448
TRIETHYL PHOSPHATE|Triethyl Phosphate|http://www.drugbank.ca/drugs/DB03347
TRIFLUOPERAZINE|Trifluoperazine|http://www.drugbank.ca/drugs/DB00831
TRIFLUPROMAZINE|Triflupromazine|http://www.drugbank.ca/drugs/DB00508
TRIFLURIDINE|Trifluridine|http://www.drugbank.ca/drugs/DB00432
TRILOSTANE|Trilostane|http://www.drugbank.ca/drugs/DB01108
TRIMETHADIONE|Trimethadione|http://www.drugbank.ca/drugs/DB00347
TRIMETHOBENZAMIDE|Trimethobenzamide|http://www.drugbank.ca/drugs/DB00662
TRIMETHOPRIM|Trimethoprim|http://www.drugbank.ca/drugs/DB00440
TRIMETREXATE|Trimetrexate|http://www.drugbank.ca/drugs/DB01157
TRIOXSALEN|Trioxsalen|http://www.drugbank.ca/drugs/DB04571
TRIPELENNAMINE|Tripelennamine|http://www.drugbank.ca/drugs/DB00792
TRIPHOSPHORIC ACID|Triphospate|http://www.drugbank.ca/drugs/DB03896
TRIPROLIDINE|Triprolidine|http://www.drugbank.ca/drugs/DB00427
TROLEANDOMYCIN|Troleandomycin|http://www.drugbank.ca/drugs/DB01361
TROPINE|Pseudotropine|http://www.drugbank.ca/drugs/DB04026
TRYPTOPHAN|L-Tryptophan|http://www.drugbank.ca/drugs/DB00150
TRYPTOPHANAMIDE|L-Tryptophanamide|http://www.drugbank.ca/drugs/DB04537
TUBOCURARINE|Tubocurarine|http://www.drugbank.ca/drugs/DB01199
TYMAZOLINE|Tymazoline|http://www.drugbank.ca/drugs/DB08803
TYROSINE|D-Tyrosine|http://www.drugbank.ca/drugs/DB03839
TYROSINE AMIDE|L-Tyrosinamide|http://www.drugbank.ca/drugs/DB03380
UBIQUINONE Q2|UBIQUINONE-2|http://www.drugbank.ca/drugs/DB08690
UNDECANAL|Undecanal|http://www.drugbank.ca/drugs/DB04093
URACIL|Uracil|http://www.drugbank.ca/drugs/DB03419
URACIL MUSTARD|Uracil mustard|http://www.drugbank.ca/drugs/DB00791
UREA|Urea|http://www.drugbank.ca/drugs/DB03904
URETHANE|Ethyl carbamate|http://www.drugbank.ca/drugs/DB04827
URIC ACID|Uric Acid|http://www.drugbank.ca/drugs/DB08844
UROCANIC ACID|trans-urocanic acid|http://www.drugbank.ca/drugs/DB01971
URSODIOL|Ursodeoxycholic acid|http://www.drugbank.ca/drugs/DB01586
VALACYCLOVIR|Valaciclovir|http://www.drugbank.ca/drugs/DB00577
VALDECOXIB|Valdecoxib|http://www.drugbank.ca/drugs/DB00580
VALERALDEHYDE|Pentanal|http://www.drugbank.ca/drugs/DB01919
VALERIC ACID|N-Valeric Acid|http://www.drugbank.ca/drugs/DB02406
VALPROIC ACID|Valproic Acid|http://www.drugbank.ca/drugs/DB00313
VALPROMIDE|Valpromide|http://www.drugbank.ca/drugs/DB04165
VALSARTAN|Valsartan|http://www.drugbank.ca/drugs/DB00177
VANCOMYCIN|Vancomycin|http://www.drugbank.ca/drugs/DB00512
VAPITADINE DIHYDROCHLORIDE|vapitadine dihydrochloride|http://www.drugbank.ca/drugs/DB05738
VARDENAFIL|Vardenafil|http://www.drugbank.ca/drugs/DB00862
VARENICLINE|Varenicline|http://www.drugbank.ca/drugs/DB01273
VATALANIB|Vatalanib|http://www.drugbank.ca/drugs/DB04879
VECURONIUM|Vecuronium|http://www.drugbank.ca/drugs/DB01339
VEMURAFENIB|Vemurafenib|http://www.drugbank.ca/drugs/DB08881
VIDARABINE ANHYDROUS|Vidarabine|http://www.drugbank.ca/drugs/DB00194
VILAZODONE|Vilazodone|http://www.drugbank.ca/drugs/DB06684
VINYLSULFONIC ACID|Vinylsulphonic Acid|http://www.drugbank.ca/drugs/DB04359
VIRGINIAMYCIN M1|Virginiamycin M1|http://www.drugbank.ca/drugs/DB01669
VISMODEGIB|Vismodegib|http://www.drugbank.ca/drugs/DB08828
VOGLIBOSE|Voglibose|http://www.drugbank.ca/drugs/DB04878
VORICONAZOLE|Voriconazole|http://www.drugbank.ca/drugs/DB00582
VORINOSTAT|Vorinostat|http://www.drugbank.ca/drugs/DB02546
XANTHINE|Xanthine|http://www.drugbank.ca/drugs/DB02134
XIMELAGATRAN|Ximelagatran|http://www.drugbank.ca/drugs/DB04898
XYLITOL|D-Xylitol|http://www.drugbank.ca/drugs/DB01904
XYLOMETAZOLINE|Xylometazoline|http://www.drugbank.ca/drugs/DB06694
YOHIMBINE|Yohimbine|http://www.drugbank.ca/drugs/DB01392
ZAFIRLUKAST|Zafirlukast|http://www.drugbank.ca/drugs/DB00549
ZALCITABINE|Zalcitabine|http://www.drugbank.ca/drugs/DB00943
ZALEPLON|Zaleplon|http://www.drugbank.ca/drugs/DB00962
ZANAMIVIR|Zanamivir|http://www.drugbank.ca/drugs/DB00558
ZANAPEZIL|Zanapezil|http://www.drugbank.ca/drugs/DB04859
ZIDOVUDINE|Zidovudine|http://www.drugbank.ca/drugs/DB00495
ZIMELDINE|Zimelidine|http://www.drugbank.ca/drugs/DB04832
ZINC|Zinc|http://www.drugbank.ca/drugs/DB01593
ZIPRASIDONE|Ziprasidone|http://www.drugbank.ca/drugs/DB00246
ZOLEDRONIC ACID ANHYDROUS|Zoledronate|http://www.drugbank.ca/drugs/DB00399
ZOLMITRIPTAN|Zolmitriptan|http://www.drugbank.ca/drugs/DB00315
ZOLPIDEM|Zolpidem|http://www.drugbank.ca/drugs/DB00425
ZOMEPIRAC|Zomepirac|http://www.drugbank.ca/drugs/DB04828
ZONISAMIDE|Zonisamide|http://www.drugbank.ca/drugs/DB00909
ZOPOLRESTAT|3,4-DIHYDRO-4-OXO-3-((5-TRIFLUOROMETHYL-2-BENZOTHIAZOLYL)METHYL)-1-PHTHALAZINE ACETIC ACID|http://www.drugbank.ca/drugs/DB08772
ZUCLOPENTHIXOL|Zuclopenthixol|http://www.drugbank.ca/drugs/DB01624
ZUCLOPENTHIXOL ACETATE|Zuclopenthixol acetate|http://www.drugbank.ca/drugs/DB08919
ZUCLOPENTHIXOL DECANOATE|Zuclopenthixol decanoate|http://www.drugbank.ca/drugs/DB08920
